Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes
Operating,Aerial Tram,Tram 50,VonRoll,1984-,650,1569,4015,,1575,2,2,Bottom,Top,2.5,
Operating,Big Easy,Quad,Doppelmayr CTEC,2003-,1600,172,910,60,350,36,6,Bottom,Bottom,2.6,
Operating,Boulder,Triple,Riblet,1988-,1800,440,3103,150,400,150,14,Top,Bottom,7.8,
Operating,Canyon Express,High Speed Quad,Doppelmayr CTEC,2003-,2600,1002,3831,500,1000,89,14,Bottom,Top,7.7,
Operating,Comet Express,High Speed Quad,Doppelmayr,1988-,2800,883,3688,400,1000,98,14,Bottom,,3.7,
Operating,Dipper Express,High Speed Quad,Doppelmayr,1994-,2800,1141,5013,600,1000,106,18,Top,Bottom,5,
Operating,First Ride,Triple,Yan,1998-,,,,,,61,7,Top,Top,,
Operating,Galaxy,Triple,Doppelmayr,2018-,1800,1014,5617,285,500,225,19,Top,Top,11.2,
Operating,Gondola,Gondola 8,Doppelmayr,2000-,2800,2874,12149,1800,1200,138,35,Top,Bottom,10.1,Midstation
Operating,Groove,Triple,Yan,1992-,,,,,,56,9,Top,Bottom,,Formerly part of Powderbowl
Operating,Gunbarrel Express,High Speed Quad,Doppelmayr,1998-,2600,1588,3758,600,1000,81,17,Top,Bottom,3.8,
Operating,Mott Canyon,Double,Doppelmayr,1991-,1000,871,2702,150,550,82,9,Top,Bottom,4.9,
Operating,North Bowl Express,High Speed Quad,Doppelmayr,2022-,2400,1279,5077,550,1000,108,17,Top,,5.1,
Operating,Olympic Express,High Speed Quad,Doppelmayr CTEC,2007-,2400,866,3330,500,1000,74,12,Top,Bottom,3.3,
Operating,Patsy's,Triple,Yan,1982-,2000,124,1220,,500,57,7,Top,Bottom,2.4,
Operating,Powderbowl Express,High Speed Six,Doppelmayr CTEC,2004-,3400,793,2325,600,1000,49,11,Top,Bottom,2.3,
Operating,Sky Express,High Speed Quad,Doppelmayr,1992-,2400,1418,4585,700,1000,98,18,Bottom,Top,4.6,
Operating,Stagecoach Express,High Speed Quad,Doppelmayr,1998-,2800,1493,5920,700,1000,124,24,Bottom,Top,5.9,
Operating,Tamarack Express,High Speed Six,Doppelmayr,1997-,2400,571,2930,400,1000,43,9,Bottom,Top,2.9,
Operating,World Cup,Double,SLI,1969-,900,323,1170,,400,42,6,Bottom,Top,2.9,
Removed,Boulder,Double,Riblet,1967-1988,950,1688,7864,,,,,,,,
Removed,Canyon,Triple,Yan,1980-2003,1800,1018,4039,,500,,,,,8.1,
Removed,Chair Two,Double,Heron,1965-,900,805,3900,,450,,,,,8.7,
Removed,Chair Four,Double,Heron,1964-1983,870,1380,4720,,,,,,,,
Removed,Dipper,Double,Riblet,1967-1984,1200,1142,5084,,,,,,,,
Removed,Galaxy,Double,SLI,-2018,,,,,,,24,Top,Bottom,,
Removed,Gunbarrel,Double,Heron,1955-1978,,1650,4000,,,,,,,,
Removed,Gunbarrel,Triple,Yan,1978-1998,1800,1624,3720,,400,,,,,9.3,
Removed,North Bowl,Triple,Riblet,1984-2022,1800,1205,5127,,500,,,Top,Bottom,10.3,
Removed,Olympic,Double,SLI,1971-2007,1200,836,2905,,,,,Top,Bottom,,
Removed,Powderbowl,Triple,Yan,1983-2004,,,,,,,,,,,Shortened 1992
Removed,Ridge,Double,Heron,-2003,,1000,,,,,,,,,
Removed,Sky,Triple,Yan,1983-1992,1800,1485,4663,,475,,,,,9.8,
Removed,Stagecoach,Double,Yan,1976-1998,1150,1389,5815,,365,,,,,15.9,
Removed,Waterfall,Triple,Yan,1982-2004,2000,916,3450,,525,,,,,6.6,
Removed,Wells Fargo,Double,SLI,1974-,,1600,,,,,,,,,
Removed,West Bowl,Double,Heron,1966-1998,930,1661,4090,,,,,,,,
Removed,West Bowl,Platter,Poma,1967-,650,145,770,,,,,,,,
Removed,,Platter,Yan,1968-,360,90,730,,365,,,,,2,
Removed,Pioneer,T-Bar,Constam,1966-1976,,140,1235,,,,,,,,
